Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 2.200612	Val Loss: 2.175220	Val Acc: 28
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.179136	Val Loss: 2.185250	Val Acc: 27
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 2.131802	Val Loss: 2.198207	Val Acc: 26
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.247975	Val Loss: 2.194447	Val Acc: 26
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 2.175697	Val Loss: 2.166979	Val Acc: 29
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 2.095289	Val Loss: 2.181694	Val Acc: 27
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 2.159933	Val Loss: 2.164860	Val Acc: 29
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 2.124888	Val Loss: 2.196606	Val Acc: 26
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 2.162979	Val Loss: 2.186419	Val Acc: 27
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 2.109370	Val Loss: 2.189192	Val Acc: 27
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 2.186888	Val Loss: 2.177213	Val Acc: 28
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.124508	Val Loss: 2.185958	Val Acc: 27
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 2.195649	Val Loss: 2.185106	Val Acc: 27
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 2.161332	Val Loss: 2.180703	Val Acc: 27
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 2.122874	Val Loss: 2.158869	Val Acc: 30
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 2.196865	Val Loss: 2.160865	Val Acc: 29
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 2.241263	Val Loss: 2.164303	Val Acc: 29
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 2.186071	Val Loss: 2.159386	Val Acc: 30
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 2.163349	Val Loss: 2.164686	Val Acc: 29
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.203606	Val Loss: 2.153824	Val Acc: 30
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 2.202086	Val Loss: 2.145306	Val Acc: 31
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 2.138048	Val Loss: 2.121239	Val Acc: 33
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.116809	Val Loss: 2.124842	Val Acc: 33
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 2.171457	Val Loss: 2.119220	Val Acc: 34
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 2.125198	Val Loss: 2.112874	Val Acc: 34
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 2.077953	Val Loss: 2.121706	Val Acc: 33
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.156377	Val Loss: 2.117228	Val Acc: 34
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 2.104925	Val Loss: 2.138746	Val Acc: 32
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 2.040582	Val Loss: 2.116998	Val Acc: 34
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 2.186725	Val Loss: 2.123821	Val Acc: 33
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.180332	Val Loss: 2.117682	Val Acc: 34
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 2.152838	Val Loss: 2.140663	Val Acc: 31
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 2.101630	Val Loss: 2.141201	Val Acc: 31
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 2.147907	Val Loss: 2.120539	Val Acc: 34
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.217976	Val Loss: 2.117508	Val Acc: 34
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 2.165014	Val Loss: 2.138100	Val Acc: 32
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 2.109237	Val Loss: 2.126917	Val Acc: 33
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 2.141036	Val Loss: 2.147305	Val Acc: 31
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.123147	Val Loss: 2.137938	Val Acc: 32
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 2.164992	Val Loss: 2.134396	Val Acc: 32
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 2.162503	Val Loss: 2.138430	Val Acc: 31
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 2.206965	Val Loss: 2.147449	Val Acc: 31
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.195254	Val Loss: 2.141910	Val Acc: 31
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 2.157765	Val Loss: 2.153550	Val Acc: 30
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 2.060482	Val Loss: 2.152238	Val Acc: 30
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 2.195681	Val Loss: 2.123667	Val Acc: 33
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 2.156293	Val Loss: 2.136234	Val Acc: 32
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 2.180100	Val Loss: 2.138340	Val Acc: 32
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 2.173860	Val Loss: 2.129275	Val Acc: 33
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 2.179528	Val Loss: 2.152184	Val Acc: 30
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 2.084132	Val Loss: 2.172094	Val Acc: 28
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 2.163115	Val Loss: 2.150833	Val Acc: 30
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 2.106044	Val Loss: 2.151808	Val Acc: 31
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 2.156998	Val Loss: 2.124505	Val Acc: 33
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 2.136492	Val Loss: 2.144508	Val Acc: 31
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 2.112100	Val Loss: 2.139442	Val Acc: 32
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 2.137486	Val Loss: 2.135636	Val Acc: 32
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 2.189347	Val Loss: 2.115564	Val Acc: 34
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.178682	Val Loss: 2.102471	Val Acc: 35
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 2.140866	Val Loss: 2.129525	Val Acc: 32
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 2.140947	Val Loss: 2.124877	Val Acc: 33
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.109580	Val Loss: 2.123740	Val Acc: 33
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 2.099357	Val Loss: 2.144665	Val Acc: 31
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 2.054904	Val Loss: 2.137365	Val Acc: 32
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 2.072230	Val Loss: 2.135329	Val Acc: 32
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 2.120102	Val Loss: 2.134938	Val Acc: 32
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 2.122107	Val Loss: 2.124139	Val Acc: 33
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 2.120064	Val Loss: 2.111701	Val Acc: 34
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 2.120347	Val Loss: 2.121663	Val Acc: 33
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 2.066339	Val Loss: 2.098949	Val Acc: 36
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 2.108846	Val Loss: 2.121246	Val Acc: 33
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 2.101866	Val Loss: 2.097898	Val Acc: 36
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 2.167059	Val Loss: 2.102824	Val Acc: 35
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 2.173675	Val Loss: 2.113106	Val Acc: 34
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 2.178954	Val Loss: 2.133530	Val Acc: 32
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 2.152282	Val Loss: 2.106713	Val Acc: 35
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 2.164218	Val Loss: 2.103290	Val Acc: 35
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 2.170389	Val Loss: 2.119415	Val Acc: 34
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 2.195279	Val Loss: 2.099052	Val Acc: 36
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 2.169120	Val Loss: 2.133311	Val Acc: 32
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 2.124707	Val Loss: 2.110797	Val Acc: 35
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 2.164131	Val Loss: 2.115368	Val Acc: 34
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 2.218261	Val Loss: 2.124501	Val Acc: 33
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 2.101035	Val Loss: 2.105035	Val Acc: 35
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 2.099370	Val Loss: 2.116056	Val Acc: 34
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 2.088537	Val Loss: 2.118211	Val Acc: 34
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 2.164426	Val Loss: 2.095742	Val Acc: 36
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 2.168193	Val Loss: 2.099125	Val Acc: 36
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 2.101675	Val Loss: 2.109643	Val Acc: 35
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 2.101268	Val Loss: 2.114182	Val Acc: 34
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 2.059722	Val Loss: 2.119609	Val Acc: 34
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 2.097623	Val Loss: 2.118872	Val Acc: 34
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 2.120717	Val Loss: 2.125999	Val Acc: 33
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 2.241831	Val Loss: 2.121526	Val Acc: 33
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 2.163161	Val Loss: 2.129656	Val Acc: 32
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 2.154237	Val Loss: 2.124518	Val Acc: 33
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 2.055475	Val Loss: 2.122141	Val Acc: 33
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.063830	Val Loss: 2.130027	Val Acc: 33
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 2.161036	Val Loss: 2.117276	Val Acc: 34
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 2.178223	Val Loss: 2.133859	Val Acc: 32
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.172285	Val Loss: 2.110795	Val Acc: 35
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 2.132699	Val Loss: 2.115262	Val Acc: 34
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 2.194561	Val Loss: 2.125596	Val Acc: 33
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 2.143574	Val Loss: 2.118875	Val Acc: 34
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 2.155503	Val Loss: 2.131552	Val Acc: 32
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 2.203645	Val Loss: 2.125407	Val Acc: 33
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 2.090329	Val Loss: 2.111778	Val Acc: 34
Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 2.098260	Val Loss: 2.124672	Val Acc: 33
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 2.062393	Val Loss: 2.132830	Val Acc: 32
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 2.077166	Val Loss: 2.116036	Val Acc: 34
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 2.135033	Val Loss: 2.123774	Val Acc: 33
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 2.118186	Val Loss: 2.092275	Val Acc: 37
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 2.154650	Val Loss: 2.120975	Val Acc: 33
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 2.139757	Val Loss: 2.148224	Val Acc: 31
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 2.164014	Val Loss: 2.119748	Val Acc: 34
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 2.106403	Val Loss: 2.125688	Val Acc: 33
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 2.142089	Val Loss: 2.119411	Val Acc: 34
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 2.113564	Val Loss: 2.162764	Val Acc: 29
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 2.118746	Val Loss: 2.134169	Val Acc: 32
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 2.132533	Val Loss: 2.137424	Val Acc: 32
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 2.187786	Val Loss: 2.133900	Val Acc: 32
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 2.133297	Val Loss: 2.161312	Val Acc: 29
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 2.084461	Val Loss: 2.145283	Val Acc: 31
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 2.163992	Val Loss: 2.094991	Val Acc: 36
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 2.116917	Val Loss: 2.131784	Val Acc: 33
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 2.079420	Val Loss: 2.095978	Val Acc: 36
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 2.124739	Val Loss: 2.098839	Val Acc: 36
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 2.102168	Val Loss: 2.110711	Val Acc: 34
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 2.120855	Val Loss: 2.100903	Val Acc: 35
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 2.101480	Val Loss: 2.097628	Val Acc: 36
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 2.219546	Val Loss: 2.119291	Val Acc: 34
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 2.150815	Val Loss: 2.141799	Val Acc: 31
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 2.145116	Val Loss: 2.124386	Val Acc: 33
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 2.067881	Val Loss: 2.121281	Val Acc: 34
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 2.099730	Val Loss: 2.129623	Val Acc: 33
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 2.125204	Val Loss: 2.136415	Val Acc: 32
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 2.169293	Val Loss: 2.111578	Val Acc: 35
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 2.101234	Val Loss: 2.104534	Val Acc: 35
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 2.156328	Val Loss: 2.108931	Val Acc: 35
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 2.170423	Val Loss: 2.103542	Val Acc: 35
Train Epoch: 5 [1280/49000 (3%)]	Train Loss: 2.187238	Val Loss: 2.118283	Val Acc: 34
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 2.082308	Val Loss: 2.115916	Val Acc: 34
Train Epoch: 5 [3840/49000 (8%)]	Train Loss: 2.139879	Val Loss: 2.114804	Val Acc: 34
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 2.124639	Val Loss: 2.102293	Val Acc: 35
Train Epoch: 5 [6400/49000 (13%)]	Train Loss: 2.117150	Val Loss: 2.117716	Val Acc: 34
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 2.147794	Val Loss: 2.101011	Val Acc: 35
Train Epoch: 5 [8960/49000 (18%)]	Train Loss: 2.085889	Val Loss: 2.100922	Val Acc: 35
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 2.108528	Val Loss: 2.103552	Val Acc: 35
Train Epoch: 5 [11520/49000 (23%)]	Train Loss: 2.125571	Val Loss: 2.095425	Val Acc: 36
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 2.155586	Val Loss: 2.138681	Val Acc: 32
Train Epoch: 5 [14080/49000 (29%)]	Train Loss: 2.135409	Val Loss: 2.133382	Val Acc: 32
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 2.101530	Val Loss: 2.118093	Val Acc: 34
Train Epoch: 5 [16640/49000 (34%)]	Train Loss: 2.117218	Val Loss: 2.110734	Val Acc: 35
Train Epoch: 5 [17920/49000 (37%)]	Train Loss: 2.106209	Val Loss: 2.104976	Val Acc: 35
Train Epoch: 5 [19200/49000 (39%)]	Train Loss: 2.147072	Val Loss: 2.141021	Val Acc: 32
