Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 0 [35840/49000 (73%)]	Train Loss: 1.441553	Val Loss: 1.386231	Val Acc: 53
Train Epoch: 0 [36480/49000 (74%)]	Train Loss: 1.514723	Val Loss: 1.453307	Val Acc: 48
Train Epoch: 0 [37120/49000 (76%)]	Train Loss: 1.433762	Val Loss: 1.489395	Val Acc: 49
Train Epoch: 0 [37760/49000 (77%)]	Train Loss: 1.213805	Val Loss: 1.547770	Val Acc: 43
Train Epoch: 0 [38400/49000 (78%)]	Train Loss: 1.624312	Val Loss: 1.437054	Val Acc: 49
Train Epoch: 0 [39040/49000 (80%)]	Train Loss: 1.397103	Val Loss: 1.338674	Val Acc: 54
Train Epoch: 0 [39680/49000 (81%)]	Train Loss: 1.524856	Val Loss: 1.514905	Val Acc: 49
Train Epoch: 0 [40320/49000 (82%)]	Train Loss: 1.390441	Val Loss: 1.325619	Val Acc: 52
Train Epoch: 0 [40960/49000 (84%)]	Train Loss: 1.342511	Val Loss: 1.460164	Val Acc: 49
Train Epoch: 0 [41600/49000 (85%)]	Train Loss: 1.373610	Val Loss: 1.348214	Val Acc: 50
Train Epoch: 0 [42240/49000 (86%)]	Train Loss: 1.450619	Val Loss: 1.465751	Val Acc: 49
Train Epoch: 0 [42880/49000 (87%)]	Train Loss: 1.250036	Val Loss: 1.439353	Val Acc: 49
Train Epoch: 0 [43520/49000 (89%)]	Train Loss: 1.426546	Val Loss: 1.563217	Val Acc: 47
Train Epoch: 0 [44160/49000 (90%)]	Train Loss: 1.587513	Val Loss: 1.390505	Val Acc: 49
Train Epoch: 0 [44800/49000 (91%)]	Train Loss: 1.312907	Val Loss: 1.434452	Val Acc: 50
Train Epoch: 0 [45440/49000 (93%)]	Train Loss: 1.344229	Val Loss: 1.469712	Val Acc: 47
Train Epoch: 0 [46080/49000 (94%)]	Train Loss: 1.394929	Val Loss: 1.458408	Val Acc: 48
Train Epoch: 0 [46720/49000 (95%)]	Train Loss: 1.683110	Val Loss: 1.384618	Val Acc: 52
Train Epoch: 0 [47360/49000 (97%)]	Train Loss: 1.579968	Val Loss: 1.527516	Val Acc: 48
Train Epoch: 0 [48000/49000 (98%)]	Train Loss: 1.346495	Val Loss: 1.517655	Val Acc: 47
Train Epoch: 0 [48640/49000 (99%)]	Train Loss: 1.368019	Val Loss: 1.405719	Val Acc: 49
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 1.278868	Val Loss: 1.462295	Val Acc: 50
Train Epoch: 1 [640/49000 (1%)]	Train Loss: 1.202458	Val Loss: 1.414555	Val Acc: 51
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 1.443325	Val Loss: 1.425655	Val Acc: 54
Train Epoch: 1 [1920/49000 (4%)]	Train Loss: 1.365644	Val Loss: 1.379186	Val Acc: 50
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 1.181906	Val Loss: 1.409624	Val Acc: 53
Train Epoch: 1 [3200/49000 (7%)]	Train Loss: 1.441162	Val Loss: 1.335443	Val Acc: 53
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 0.991410	Val Loss: 1.359926	Val Acc: 52
Train Epoch: 1 [4480/49000 (9%)]	Train Loss: 1.472605	Val Loss: 1.290148	Val Acc: 53
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 1.185732	Val Loss: 1.334531	Val Acc: 53
Train Epoch: 1 [5760/49000 (12%)]	Train Loss: 1.412775	Val Loss: 1.276897	Val Acc: 55
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 1.288424	Val Loss: 1.424291	Val Acc: 50
